id,first_name,last_name,licence_number,role,phone_number,email,address,town,postcode,qualifications,training_completed,facilitites,licence_type
1,Ashlan,Martygin,05-2033008,NPRC,497-503-6957,amartygin0@mapquest.com,923 Gulseth Terrace,Metz,57032 CEDEX 01,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
2,Germaine,Trahar,20-3873172,NIO,,gtrahar1@blogs.com,9 Victoria Avenue,Gayny,619650,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
3,Karly,Huniwall,01-4024923,NACWO,466-577-6627,khuniwall2@wikispaces.com,786 Schiller Terrace,Proletarsk,347554,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Small animal facility,PIL
4,Jammie,Capstack,57-2898904,NACWO,242-829-6113,jcapstack3@nyu.edu,68 Merrick Junction,Namling,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
5,Lorry,Smalles,97-7088549,NPRC,404-717-8777,lsmalles4@mozilla.com,28 Banding Plaza,Atlanta,31165,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PIL
6,Mozes,Leahey,95-3489355,PEL,850-290-7591,mleahey5@howstuffworks.com,94 American Parkway,Qarshi,,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Bird facility,PEL
7,Lucy,Priditt,47-1200656,NVS,862-430-3840,lpriditt6@amazon.com,65 Sutteridge Hill,Belos Ares,4650-304,BSc (Hons) Aquaculture and Fisheries Management,Charles River 04/08/2016,Large animal facility,PIL
8,Sonny,Tonepohl,91-3353089,HOLC,,stonepohl7@wunderground.com,9 Carberry Drive,Jaffna,40000,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
9,Berget,Serotsky,71-9117190,HOLC,813-328-3984,bserotsky8@spotify.com,012 Darwin Way,Shibi,,BSc (Hons) Aquaculture and Fisheries Management,University of Croydon 05/10/2012,Fish facility,PIL
10,Malissa,Scarre,33-1189255,NPRC,497-897-6971,mscarre9@dailymotion.com,6903 Bobwhite Alley,Kabankalan,6109,MSc Aquaculture and Fisheries Management,Charles River 04/08/2016,Fish facility,PIL
